评论者,评论
常温的,很神奇 周杰伦的歌 某一天某一个时间就特别想听这段旋律 魔力
小小钗乖乖.,“就当我遇见你为伏笔.”
寒枫,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
究极风怒24k纯金猎🐴人,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
隺🐤,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
储QY,厉害
　　　　　,可以的好听
多重人格♀,百听不厌
多重人格♀,很好听啊
柠*檬～,方文山的词太美了
熊啸龙,还要搞会员，坑比
熊啸龙,周杰伦就这首歌好听，没得毛病
可爱小新,爱圈圈100分
楠,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
无涯,第一次在电视上听到这首歌的时候，大概只有七八岁的，就被旋律深深吸引，长大后知道这首歌叫青花瓷，也知道了天青色等烟雨，而我在等你。不管过多久再听这首歌，依然会觉得好听
宫上语彤,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
九十与她,。
小爷帅哥❤,好听
一帆风,天青色等烟雨，而我在等你
酷阳,能不能不男不女宝宝你爸爸你爸爸你把你爸爸你爸爸呢巴巴爸爸你爸爸你爸爸
＆入你眼眸へ,天青色是无法自己形成的，古人无法改变湿度，所以在青瓷出炉的那一瞬必须是烟雨天，釉色才会渐变成梦幻般的天青色。因此雨过天晴的瓷器极为珍惜。天青色对烟雨的等待，是对完整生命的渴望和肯定。我等你亦如天青色等烟雨。
ˇ欲′鋙,听了一段肖战的歌过来洗耳朵…还是奶茶伦的歌好听
帆布,九年前，那时候我们高一，记得你mp3里面听的最多的就是这首歌，不知道当时我哪来的勇气向你表白，在一起七年，而现在，我们都有了各自的家！
.,天青色是无法自己形成的，古人无法改变湿度，所以在青瓷出炉的那一瞬必须是烟雨天，釉色才会渐变成梦幻般的天青色。因此雨过天晴的瓷器极为珍惜。天青色对烟雨的等待，是对完整生命的渴望和肯定。我等你亦如天青色等烟雨。
拾玖,青花瓷是我小学五年级开始听的，当时六一儿童节，隔壁班在编这首歌的舞蹈，然后上课时这首歌传来，听着听着就哼起来走神了，现在已经大一了
我很忙,青花瓷是我小学五年级开始听的，当时六一儿童节，隔壁班在编这首歌的舞蹈，然后上课时这首歌传来，听着听着就哼起来走神了，现在已经大一了
小太阳,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
胖西西,晚安等你
活下去,这首歌能红到地球毁灭那一刻
亖㐅罒乄,"盛世繁华，终不过一捧黄沙。
你曾许我风流佳话，
也曾共我观赏锦绣繁花，
不过朝权低下，
空有一腔绝代风华。"
煜栀,第一次听青花瓷时，我还在上幼儿园，当时只觉得这个歌旋律很好听，现在听真的觉得周杰伦是什么神仙，在那个年代还能写出这么厉害的词，现在才能品出曲中词句的精妙。
aperson,最近一直单曲循环循环循环循环循环循环循环循环循环循环循环循环循环循环循环循环循环循环循环循环循环
枺,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
小阎王,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
星月之樱,天青色等烟雨，而我在等你。
盐水屋,上小学的时候最喜欢的歌[em]e400823[/em][em]e400823[/em][em]e400823[/em]
小楠同學,"素胚勾勒出青花笔锋浓转淡
瓶身描绘的牡丹一如你初妆
冉冉檀香透过窗心事我了然
宣纸上走笔至此搁一半
釉色渲染仕女图韵味被私藏
而你嫣然的一笑如含苞待放
你的美一缕飘散
去到我去不了的地方"
上善若水,爷也是绿钻用户了
尼古丁,一天要来听十几次
骚⁡ 泰,vip[em]e400867[/em]
lily,“天青色等烟雨，而我在等你.”
lily,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
ㅤㅤㅤ,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
艾门百思特,哈哈哈哈哈哈哈哈哈哈哈
艾门百思特,周杰伦演唱会门票白拿到了一个人的时候我
艾门百思特,周杰伦零零落落零零落落零零落落来了
闭上眼都是浮云,“天青色等烟雨，而我在等你.
18,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
being,天青色等艳遇，而我在等你。十世轮回皆错过又如何，我还会等着下一世，终有一世你会知道我一直在等你
好就好了,小雨湿未透，频繁忆残烛后，\n错因旧梦醉新酒。\n天青瓷上釉，清签细笔写红豆，\n还描成同心蔻。
已錯過的時間,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Ruiv,天青色等艳遇，而我在等你。十世轮回皆错过又如何，我还会等着下一世，终有一世你会知道我一直在等你
End,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
I think I've seen you somewhere,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
 桁铃,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
我落泪情绪零碎,要钱，所以我自己学会唱了
',就当我为遇见你伏笔
停云☁️,绝美
Ä白云青霭Ä,周杰伦是国民党
砂時計,周杰伦是国民党
日落孤城,天青色等烟雨而我在等你，炊烟寥寥升起，隔江千万里。希望我此生有幸，可以找到与我志同道合的那个人。看淡每一次的不辞而别，珍惜每一次的不期而遇。太阳永远会照亮你前行的路，给你带来温暖，与你共度此生。
.,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
A0  李响,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不
释迦摩🍁,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
ST-M藤原拓海,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
٩车神۶༄,走笔一半而止 \n窥见你笑意嫣然 \n遂搁于砚 \n\n但以山水工笔 \n青花釉上彩 \n难绘你
罒灬心瘾丷乀,好久好久家家户户酒精和经济健康金碧辉煌家居摆件看看吧v白金汉宫不可靠兵华
偶尔也会逗逗时光,66
偶尔也会逗逗时光,周杰伦是国民党
新川泽野,神仙嗓音
老土,其实特别佩服一家酒企，迅速出了“青花瓷”的款。卖的很好。
11卍,好有意象，好听
雪溶留心,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
人呢,阿根廷有梅西，巴西有罗尼[em]e400851[/em]
人呢,周杰伦是国民党
happy ～蒙,小时不知曲中意，再听已是曲中人
带专生,要钱，所以我自己学会唱了
清醒的人最荒唐,要钱，所以我自己学会唱了
神明,周杰伦的歌真的有一种神奇的魔力 当旋律响起的那个瞬间 你的思绪会把你拽回你最美好的学生时代 你最爱的伙伴 最爱的校园 还有情窦初开时 最爱的那个人
雅俗共赏,周杰伦是国民党
iamanna,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
少羽VW,周杰伦是国民党
FJ×,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
讠冫,这首歌就不用我推荐了吧。熟悉的弦律伴随了太多人的童年和青春。“天青色等烟雨，而我在等你……”
孤丑奇笑,还有人听这首歌吗？
小白😊,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
成风の魄浪,青花瓷
李袁康,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！咿呀咿呀哟咿呀咿呀哟咿呀咿呀哟咿呀咿呀哟咿呀咿呀哟咿呀咿呀哟也一样
格哩,初遇三惹
格哩,绝了
九千万少女的梦,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感。
Zackery.解,很小的时候我就在听杰伦的歌了。有多小呢，当时杰伦的歌还不收费呢[em]e400343[/em]
赵尼玛。,"你的美，耐人去寻味
便是嵌入寂静深夜，人亦难寐
你的笑，无人能忘掉
便是越过万里烟波，依旧明曜

我眼前的你
婷婷玉立
在我的思绪里
渐渐隐去
其实你也知道
我等待的"
卍解！天锁斩月,啧啧啧，曲和词完美融合，不愧为才子周杰伦、词圣方文山
卍解！天锁斩月,很难想象，周杰伦和方文山有多么寂寞
冯宝宝.,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
巴萨罗那,阿根廷有梅西，巴西有罗尼[em]e400851[/em]
半岛铁盒,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
空城,4年前你第一次带我听这个歌，我便爱上这首歌4年后你我都不在联系，我想你了
清风惋惜,哦买嘎，没vip了[em]e400824[/em][em]e400824[/em]
ℳ叔叔,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
✘逍遥……,该评论已经被删除
✘逍遥……,该评论已经被删除
✘逍遥……,该评论已经被删除
【这里有瑜】楼司令,好好用电脑上的游戏中我可以用这个世界记录保持者为大家推荐一下我最讨厌了……不过现在还是有点想说一句话
二拾陆,"初中英语考试
写完试卷后在试卷上默写这首歌歌词
被老师发现了
还以为我在作弊
现在想想
那些悠闲快乐时光都一去不复返了"
寄予清风。,纠结伦哭了吗丁啉来就一起去后宫群饿鬼哦哦工资五一桌姑姑他不WOW土豚恶徒YY
停云☁️,绝美
江晚正愁余,最最最喜欢的歌，真是百听不厌啊！
喵内嘎,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Nightmares,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
成风の魄浪,青花瓷
Enchanted   ⃒⃘⃤,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
[Steady],记得在我小的时候，家里的DVD，CD盘上面就有这首歌，也有十年了，哎，越听越殇
　󠀀󠀀󠀀󠀀,刚听到高潮，结果他非要会员[em]e400104[/em]
小唯,最喜欢的一首
倾世乐章,个人认为完美的一首歌
Hyo míng,08年还在用mp3听这首歌
妖狐冕下,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
鱼虾一整碗,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
点绛唇,每次听这首歌  都有一种绵长悠扬的感觉 很舒服很平静
battle myth,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
清风,学会了这首歌，本来想唱给你听的，可惜你早已离我而去
okyours,长大了才听懂曲里的故事。
名字什么都是浮云,就当我为遇见你伏笔
华语第一人周杰伦,天青色等烟雨 而我在等你
不老岁月,坑死我了，还要付费。
小白,"初听不知曲中意，再听已是VIP
曲终人散梦已醒，必歌已是收费曲
我发现只要是周董的歌，不是没版权就是VIP,唉，穷，太难了"
蓝天碧水,据哦地铁反反复复超级蜂巢剧场将房产纠纷西滑封村肌肤刺激复习就复习就出现纠纷超级超级超级复习就发现肌肤长卷发粗发
802.,周杰伦的这首《青花瓷》太好听了，每次当心情烦躁的时候听一听这首歌心情就莫名好了许多
世界上最强星球战队,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
🌘,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
。。。,不得不说这首歌的歌词真的好
肖小叶🌿,“天青色等烟雨，而我在等你”[em]e401137[/em]
见风,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Janeite,紅 土 [em]e400133[/em] 《中美》
゜OrαNgё.,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
夏宏,恐怕听亡
起起落落,方文山的文采
垂涎自由,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
 猫奴,心中周杰伦歌里的top1
未来可期,心情不好的时候，听一听，洗涤心灵
星星碎了.,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
Swoboda,(我会在杰伦很多歌下说这些)我真心希望，评论区在提到00后时，少数80，90后可以放下自己对00后的偏见和自己有些微妙的优越感，我04年的 但是我也非常喜欢周杰伦，希望大家可以别整天00后不配喜欢周杰伦什么的，这样真的会让00后歌迷寒心的！
